job_role,skills,skills_count,experience,skill_SQL,skill_Английский—_B2_—_Средне-продвинутый,skill_Английский_язык,skill_Python,skill_Docker,skill_Git,skill_Kubernetes,skill_PostgreSQL,skill_CI_CD,skill_JavaScript,skill_Английский—_B1_—_Средний,skill_Бизнес-анализ,skill_Английский—_C1_—_Продвинутый,skill_Аналитическое_мышление,skill_REST_API,skill_TypeScript,skill_Linux,skill_React,skill_Figma,skill_Деловая_коммуникация,skill_BPMN,skill_Java,skill_API,skill_UML,skill_Redis,skill_MySQL,skill_Agile,skill_Power_BI,skill_UX,skill_Postman,skill_HTML,skill_Atlassian_Jira,skill_UI,skill_DevOps,skill_PHP,skill_Grafana,skill_Adobe_Photoshop,skill_Разработка_технических_заданий,skill_Русский—_C2_—_В_совершенстве,skill_MS_Excel,skill_User_Story,skill_REST,skill_RabbitMQ,skill_Scrum,skill_Постановка_задач_разработчикам,skill_QA,skill_Project_management,skill_Prometheus,skill_CSS,skill_SOAP,skill_Русский—_C1_—_Продвинутый,skill_Angular,skill_Apache_Kafka,skill_Laravel,skill_Adobe_Illustrator,skill_Анализ_данных,skill_Gitlab,skill_Golang,skill_Node_js,skill_Системный_анализ
Data Analyst,PostgreSQL; ETL; API; Data Pipeline; DWH,5,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Data Analyst,Python; SQL; Big Data; CatBoost; PyTorch; Docker; Kubernetes; MLflow; Git; Apache Airflow; LLM; A/B тесты,12,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Data Analyst,SQL; Python; CI/CD; Моделирование,4,2,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Data Analyst,Английский — B2 — Средне-продвинутый,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Data Analyst,Бизнес-анализ; User Story; Sparx Enterprise Architect; BPMN; Qlik Sense; Казахский — A1 — Начальный,6,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Data Analyst,Английский — C1 — Продвинутый,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Data Analyst,Big Data; Power BI; Визуализация данных; Исследовательский анализ данных; Анализ данных; Интерпретация данных; Работа с базами данных,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Data Analyst,SQL; Greenplum; Python; PostgreSQL; Apache Airflow,5,2,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Data Analyst,BI; SQL; ETL; ELT; MySQL; Английский — A1 — Начальный,6,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Data Analyst,Английский язык; Деловая коммуникация; Аналитическое мышление; Работа с большим объемом информации; Английский — C1 — Продвинутый,5,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
